,PRICE,BEDS,BATHS,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,LIKE
593,175000,3,1,TOWNHOUSE,2040 Moore St,PHILADELPHIA,PA,19145,NO
624,179900,3,1,TOWNHOUSE,1027 S 52nd St,PHILADELPHIA,PA,19143,NO
361,180000,9,3,SINGLE FAMILY RESIDENTIAL,162 19th Ave,IRVINGTON,NJ,7111,NO
648,183000,10,6,SINGLE FAMILY RESIDENTIAL,3303 Bloomingdale Rd,BALTIMORE,MD,21216,NO
348,185000,3,1.5,TOWNHOUSE,380 Littleton Ave,NEWARK,NJ,7103,NO
520,185000,5,2,SINGLE FAMILY RESIDENTIAL,172 16th Ave,NEWARK,NJ,7103,NO
159,186000,5,3,MULTI-FAMILY (2-4 UNIT),550 35TH St,UNION CITY,NJ,7087,YES
256,186000,8,5,MULTI-FAMILY (2-4 UNIT),56 STEVENS Ave,JERSEY CITY,NJ,07305-3012,YES
522,189000,2,1,CONDO/CO-OP,2672 KENNEDY Blvd #104,JERSEY CITY,NJ,7306,NO
529,190000,2,1,CONDO/CO-OP,6414 PARK Ave #11,WEST NEW YORK,NJ,7093,NO
528,198995,3,1,CONDO/CO-OP,5612 Hudson Ave Unit 1A,WEST NEW YORK,NJ,7093,NO
596,200000,5,1.5,SINGLE FAMILY RESIDENTIAL,141 S 8TH St,NEWARK,NJ,07107-1401,NO
664,200000,2,,CONDO/CO-OP,607 Bergenline Ave #2,UNION CITY,NJ,7087,NO
646,208000,3,2,TOWNHOUSE,2237 Madison Ave,BALTIMORE,MD,21217,NO
525,212000,2,1,CONDO/CO-OP,2323 Loring Pl N #8,BRONX,NY,10468,NO
631,214000,4,2,TOWNHOUSE,5303 Walnut St,PHILADELPHIA,PA,19139,NO
99,215000,4,2,MULTI-FAMILY (2-4 UNIT),630 S 12th St,NEWARK,NJ,7103,YES
530,219000,3,1.5,SINGLE FAMILY RESIDENTIAL,364 Bergen St,NEWARK,NJ,07103-2202,NO
118,220000,7,3,MULTI-FAMILY (2-4 UNIT),270 Schley St,NEWARK,NJ,07112-1012,YES
645,220000,3,2.5,SINGLE FAMILY RESIDENTIAL,112-11 204th St,JAMAICA,NY,11412,NO
517,225000,3,1.5,CONDO/CO-OP,376 Littleton Ave,NEWARK,NJ,7103,NO
620,225000,3,2.5,TOWNHOUSE,5729 Delancey St,PHILADELPHIA,PA,19143,NO
357,230000,6,3,SINGLE FAMILY RESIDENTIAL,856 S 13th St,NEWARK,NJ,07108-1316,NO
287,235000,3,1,CONDO/CO-OP,1614 Summit Ave #15,UNION CITY,NJ,7087,NO
474,236500,3,2,CONDO/CO-OP,776-784 N 6th St Unit C4,NEWARK,NJ,7107,NO
162,239900,4,2,SINGLE FAMILY RESIDENTIAL,496 S 18th St,NEWARK,NJ,7103,NO
83,240000,3,1.5,SINGLE FAMILY RESIDENTIAL,257 S 6th St,NEWARK,NJ,7103,NO
665,244000,2,2,CONDO/CO-OP,150 Featherbed Ln Unit 2G,BRONX,NY,10452,NO
195,249000,3,1.5,SINGLE FAMILY RESIDENTIAL,4524 SMITH Ave,NORTH BERGEN,NJ,07047-2746,NO
10,249999,4,1,SINGLE FAMILY RESIDENTIAL,1143 Sewall Ave,ASBURY PARK,NJ,7712,NO
298,249999,3,1,CONDO/CO-OP,135 Van Wagenen Ave Unit G1,JERSEY CITY,NJ,7306,NO
110,250000,5,2,SINGLE FAMILY RESIDENTIAL,10 Stewart Pl,YONKERS,NY,10701,NO
401,250000,4,2,MULTI-FAMILY (2-4 UNIT),331 W Runyon St,NEWARK,NJ,7108,YES
621,250000,6,3,MULTI-FAMILY (2-4 UNIT),314 Dixwell Ave,NEW HAVEN,CT,6511,YES
603,251000,5,3,SINGLE FAMILY RESIDENTIAL,30 TAYLOR ST Newark NJ,NEWARK,NJ,07104-2618,NO
408,255000,4,2,MULTI-FAMILY (2-4 UNIT),27 Hudson St,NEWARK,NJ,7103,YES
429,255000,6,2,MULTI-FAMILY (2-4 UNIT),232 Sherman Ave,NEWARK,NJ,7114,YES
495,256000,6,3,MULTI-FAMILY (2-4 UNIT),119 S 6th St,NEWARK,NJ,7107,YES
238,259000,7,3,MULTI-FAMILY (2-4 UNIT),197 MALLORY Ave,JERSEY CITY,NJ,07304-1254,YES
290,260000,3,1,CONDO/CO-OP,2608 KENNEDY Blvd #4,UNION CITY,NJ,7087,NO
166,264900,3,1,SINGLE FAMILY RESIDENTIAL,248 1/2 Chestnut St,NEWARK,NJ,7105,NO
536,264995,3,2,TOWNHOUSE,5838 Pemberton St,PHILADELPHIA,PA,19143,NO
219,267000,6,2,MULTI-FAMILY (2-4 UNIT),131 WEGMAN Pkwy,JERSEY CITY,NJ,07305-3314,YES
270,269999,5,2,MULTI-FAMILY (2-4 UNIT),409 S 7th St,NEWARK,NJ,07103-2015,YES
336,270000,6,1.5,SINGLE FAMILY RESIDENTIAL,57-59 Shephard Ave,NEWARK,NJ,7112,NO
53,275000,3,1,SINGLE FAMILY RESIDENTIAL,11 1/2 Highland Ave,KEARNY TOWN,NJ,07032-1922,NO
262,275000,5,2,MULTI-FAMILY (2-4 UNIT),664-666 Irvine Turner Blvd,NEWARK,NJ,7112,YES
523,275000,2,1.5,CONDO/CO-OP,437 Palisade Ave Unit 5F,YONKERS,NY,10703,NO
613,275000,4,2.5,TOWNHOUSE,5132 Locust St,PHILADELPHIA,PA,19139,NO
570,275995,3,1.5,SINGLE FAMILY RESIDENTIAL,,BROOKLYN,NY,11207,NO
412,280000,5,2,SINGLE FAMILY RESIDENTIAL,63-65 Stengel Ave,NEWARK,NJ,7112,NO
424,280000,4,3,MULTI-FAMILY (2-4 UNIT),33 Armstrong Ave,JERSEY CITY,NJ,7305,YES
337,289900,8,3,MULTI-FAMILY (2-4 UNIT),92 Peabody Pl,NEWARK,NJ,7104,YES
234,295000,5,2,SINGLE FAMILY RESIDENTIAL,68 Eppirt St,EAST ORANGE,NJ,7018,NO
235,295000,6,3,MULTI-FAMILY (2-4 UNIT),138 Sylvan Ave,NEWARK,NJ,7104,YES
330,295000,4,2.5,MULTI-FAMILY (2-4 UNIT),35 EXETER Rd,JERSEY CITY,NJ,,YES
657,295000,5,2.5,SINGLE FAMILY RESIDENTIAL,422 W 16th St,SAN BERNARDINO,CA,92405,NO
304,297000,5,3,MULTI-FAMILY (2-4 UNIT),179 Schuyler Ave,NEWARK,NJ,7112,YES
121,300000,6,4,MULTI-FAMILY (2-4 UNIT),15 PACKARD St,BAYONNE,NJ,07002-4922,YES
250,300000,4,1,SINGLE FAMILY RESIDENTIAL,767 Georgia Ave,E. NEW YORK,NY,11207,NO
342,300000,8,3,SINGLE FAMILY RESIDENTIAL,65 S 7th St,NEWARK,NJ,7107,NO
655,300000,5,2,SINGLE FAMILY RESIDENTIAL,1617 81st St,NORTH BERGEN,NJ,7047,NO
