,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
464,PAST SALE,February-26-2021,Single Family Residential,16 Howell Pl,Kearny,NJ,7032,310000.0,4.0,2.0,Kearny,,6468.0,,159.0,,,Sold,,NJMLS,21001247,Y,Y,40.772168,-74.1363329
465,MLS Listing,2025,Multi-Family (2-4 Unit),99 Cutler St,Newark,NJ,7104,330000.0,5.0,3.0,Newark,,1742.0,,51.0,,,Active,,NJMLS,21023879,Y,Y,40.7546793,-74.1747542
467,PAST SALE,April-28-2021,Multi-Family (2-4 Unit),285 N 5th St,Newark,NJ,7107,370000.0,9.0,3.5,Newark,,2500.0,,98.0,,,Sold,,NJMLS,20038039,Y,Y,40.757734,-74.1863581
468,PAST SALE,April-5-2021,Single Family Residential,78 Columbia Ave,Newark,NJ,7106,322500.0,4.0,3.0,Newark,,3759.0,,121.0,,,Sold,,NJMLS,21001435,Y,Y,40.7424236,-74.2196521
469,PAST SALE,2025,Townhouse,3122 E St,Philadelphia,PA,19134,,3.0,1.0,,900.0,795.0,1920.0,,,,,,,,Y,Y,39.9962164,-75.1197274
470,PAST SALE,February-12-2021,Townhouse,1810 S 57th St,Philadelphia,PA,19143,95000.0,4.0,1.0,KINGSESSING,1306.0,1163.0,1925.0,173.0,73.0,,Sold,,BRIGHT MLS,PAPH978064,Y,Y,39.9373198,-75.2282473
471,PAST SALE,February-17-2021,Multi-Family (2-4 Unit),207 WILKINSON Ave #2,JERSEY CITY,NJ,7305,429000.0,6.0,2.0,Jersey City (Greenville),,,,168.0,,,Sold,,HCMLS,210000931,Y,Y,40.708023,-74.083437
472,PAST SALE,December-22-2006,Single Family Residential,687 E 232nd St,BRONX,NY,10466,549000.0,5.0,2.0,BRONX,1951.0,3324.0,1910.0,205.0,281.0,,Pending,,OneKey,H6090207,Y,Y,40.893144,-73.858222
473,PAST SALE,April-9-2021,Townhouse,2519 S Felton St,Philadelphia,PA,19142,75000.0,3.0,1.5,Philadelphia,1288.0,1020.0,1925.0,117.0,58.0,,Sold,,BRIGHT MLS,PAPH992976,Y,Y,39.9242859,-75.2262673
474,PAST SALE,April-5-2021,Condo/Co-op,776-784 N 6th St Unit C4,Newark,NJ,7107,236500.0,3.0,2.0,Newark,,,,121.0,,,Sold,,NJMLS,21001070,Y,Y,40.7762617,-74.1781467
477,PAST SALE,March-3-2016,Townhouse,5212 W Thompson St,Philadelphia,PA,19131,52000.0,4.0,2.0,WEST PHILADELPHIA,1716.0,1920.0,1925.0,1980.0,30.0,,Sold,,BRIGHT MLS,1002726330,Y,Y,39.972711,-75.2266091
478,PAST SALE,2025,Townhouse,303 E Indiana Ave,Philadelphia,PA,19134,,3.0,1.0,,1120.0,854.0,1920.0,,,,,,,,Y,Y,39.9950801,-75.1258851
480,PAST SALE,April-26-2021,Multi-Family (2-4 Unit),317 South St,Elizabeth,NJ,7202,345000.0,6.0,2.0,,,3049.0,1900.0,100.0,,,Sold,,MOMLS,22043081,Y,Y,40.6584623,-74.2080564
481,PAST SALE,April-5-2021,Single Family Residential,21 White Ter,Newark,NJ,7108,348000.0,5.0,2.5,Newark,,3598.0,,121.0,,,Sold,,NJMLS,20025589,Y,Y,40.7206885,-74.21204
482,PAST SALE,April-14-2021,Townhouse,25 N Conestoga St,Philadelphia,PA,19139,82000.0,3.0,1.0,WEST PHILADELPHIA,740.0,,1925.0,112.0,111.0,,Sold,,BRIGHT MLS,PAPH976624,Y,Y,39.9612196,-75.2294409
483,PAST SALE,February-23-2021,Townhouse,141 N Wanamaker St,Philadelphia,PA,19139,64000.0,3.0,1.0,HADDINGTON,1224.0,836.0,1925.0,162.0,52.0,,Sold,,BRIGHT MLS,PAPH943656,Y,Y,39.9640057,-75.2368193
484,PAST SALE,July-15-2021,Multi-Family (2-4 Unit),16 E BIDWELL Ave,JERSEY CITY,NJ,07305-4217,540000.0,5.0,2.0,Jersey City (Greenville),,,,20.0,,,Sold,,HCMLS,210002939,Y,Y,40.7014914,-74.0763908
486,MLS Listing,2025,Multi-Family (2-4 Unit),262 S 8th St,Newark,NJ,7103,475000.0,6.0,3.0,Newark,,2500.0,,133.0,,,Contingent,,NJMLS,21010646,Y,Y,40.741159,-74.197987
487,PAST SALE,2025,Townhouse,5937 Irving St,Philadelphia,PA,19139,86500.0,3.0,1.0,,934.0,734.0,1925.0,,93.0,,,,,,Y,Y,39.957386,-75.2408104
489,PAST SALE,April-12-2021,Single Family Residential,723 COLONIAL ARMS Rd,Union Twp.,NJ,07083-7607,405000.0,4.0,2.0,Union Twp.,,5662.0,1956.0,114.0,,,Sold,,GSMLS,3683857,Y,Y,40.6803269,-74.2483095
490,PAST SALE,May-21-2021,Single Family Residential,580 AVENUE E,Bayonne,NJ,7002,340000.0,3.0,1.0,Bayonne,,,,75.0,,,Sold,,HCMLS,202029319,Y,Y,40.67334,-74.106644
493,PAST SALE,April-8-2021,Townhouse,2633 N Bancroft St,Philadelphia,PA,19132,58000.0,3.0,1.0,Philadelphia,1036.0,674.0,1915.0,118.0,56.0,,Sold,,BRIGHT MLS,PAPH931576,Y,Y,39.993505,-75.1584257
494,PAST SALE,May-26-2021,Single Family Residential,119 Walnut St,Darby,PA,19023,125000.0,5.0,1.5,CYNWYD,1843.0,4443.0,1900.0,70.0,68.0,,Sold,,BRIGHT MLS,PADE536980,Y,Y,39.9146331,-75.2505267
495,PAST SALE,April-30-2021,Multi-Family (2-4 Unit),119 S 6th St,Newark,NJ,7107,256000.0,6.0,3.0,Newark,,3459.0,,96.0,,,Sold,,NJMLS,20049991,Y,Y,40.7439303,-74.195072
496,PAST SALE,March-31-2021,Single Family Residential,314-316 Parker St,Newark,NJ,7104,331000.0,6.0,3.5,Newark,3382.0,4791.0,1907.0,126.0,98.0,,Sold,,BRIGHT MLS,NJES100228,Y,Y,40.7641423,-74.1754081
497,PAST SALE,April-1-2021,Multi-Family (2-4 Unit),228 3rd St,Newark,NJ,7107,410000.0,7.0,3.0,Newark,,2500.0,,125.0,,,Sold,,NJMLS,21000346,Y,Y,40.7554042,-74.1859912
498,PAST SALE,February-23-2021,Townhouse,5620 Angora Ter,Philadelphia,PA,19143,97000.0,3.0,1.5,COBBS CREEK,992.0,1120.0,1925.0,162.0,98.0,,Sold,,BRIGHT MLS,PAPH975626,Y,Y,39.9459122,-75.235928
499,PAST SALE,October-16-2018,Single Family Residential,160 Mill St,Belleville,NJ,7109,146242.0,3.0,2.0,Belleville,,3001.0,,1023.0,,,Sold,,NJMLS,1805584,Y,Y,40.7829222,-74.1573604
500,MLS Listing,2025,Multi-Family (2-4 Unit),481 S 11th St,Newark,NJ,7103,392000.0,7.0,4.0,Newark,,2500.0,,72.0,,,Active,,NJMLS,21020337,Y,Y,40.7368767,-74.2031893
501,PAST SALE,May-17-2021,Single Family Residential,297 Dr Martin Luther Kng Blvd,Newark,NJ,7102,310000.0,3.0,1.0,Newark,,1708.0,,79.0,,,Sold,,NJMLS,20038692,Y,Y,40.7440749,-74.175761
503,PAST SALE,March-30-2021,Single Family Residential,4228 Gunther Ave,BRONX,NY,10466,405000.0,3.0,2.5,BRONX,1208.0,2378.0,1920.0,127.0,335.0,,Sold,,OneKey,H6069518,Y,Y,40.8949321,-73.8499175
507,PAST SALE,February-17-2021,Multi-Family (2-4 Unit),243 Summer Ave,Newark,NJ,7104,321000.0,5.0,3.0,Newark,,2409.0,,168.0,,,Sold,,NJMLS,20045650,Y,Y,40.7600087,-74.1709014
509,PAST SALE,June-17-2021,Multi-Family (2-4 Unit),121 KEARNEY Ave,JERSEY CITY,NJ,7305,316000.0,4.0,2.0,Jersey City (Greenville),,,,48.0,,,Sold,,HCMLS,202028181,Y,Y,40.712065,-74.081091
510,MLS Listing,2025,Single Family Residential,1439 45th St,North Bergen,NJ,7047,349000.0,3.0,2.0,North Bergen,,2901.0,,48.0,,,Contingent,,NJMLS,21024441,Y,Y,40.7827541,-74.0299549
511,PAST SALE,June-11-2021,Single Family Residential,282 ARMSTRONG Ave,JERSEY CITY,NJ,7305,375000.0,4.0,1.0,Jersey City (West Bergen),1633.0,,,54.0,230.0,,Sold,,HCMLS,202028714,Y,Y,40.705819,-74.091086
513,PAST SALE,April-14-2021,Condo/Co-op,4306 KENNEDY Blvd #9,Union City,NJ,7087,146000.0,2.0,1.0,Union City,561.0,,,112.0,260.0,228.0,Sold,,HCMLS,202029287,Y,Y,40.7792715,-74.0262712
515,PAST SALE,February-26-2021,Condo/Co-op,527-29 34th St Unit C1,Union City,NJ,7087,170000.0,2.0,1.0,Union City,,,,159.0,,,Sold,,NJMLS,20051854,Y,Y,40.7735178,-74.0297895
517,PAST SALE,April-6-2021,Condo/Co-op,376 Littleton Ave,Newark,NJ,7103,225000.0,3.0,1.5,Newark,,,,120.0,,,Sold,,NJMLS,21005954,Y,Y,40.7337012,-74.1980656
520,PAST SALE,July-16-2021,Single Family Residential,172 16th Ave,Newark,NJ,7103,185000.0,5.0,2.0,Newark,,,,19.0,,,Sold,,NJMLS,20037577,Y,Y,40.7356394,-74.2028006
521,PAST SALE,January-25-2021,Condo/Co-op,1866 KENNEDY Blvd Unit B2,JERSEY CITY,NJ,7305,140000.0,2.0,1.0,Jersey City (Greenville),988.0,,,191.0,142.0,390.0,Sold,,HCMLS,210000418,Y,Y,40.7034776,-74.09004
