SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),99 ATLANTIC St,JERSEY CITY,NJ,7304,599000,5,4,Jersey City (Bergen-Lafayette),,,,128,,,Active,August-8-2021 01:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/NJ/Jersey-City/99-Atlantic-St-07304/home/36572263,HCMLS,210007307,Y,Y,40.7156485,-74.0776351
PAST SALE,,Single Family Residential,409 6th St,Union City,NJ,7087,89900,,,,1928,3001,1893,,47,,,,,http://www.redfin.com/NJ/Union-City/409-6th-St-07087/home/36614820,,,Y,Y,40.7555703,-74.0392061
MLS Listing,,Multi-Family (2-4 Unit),110-20 Union Hall St,Jamaica,NY,11433,499000,5,2,Jamaica,,3060,1920,23,,,Active,,,http://www.redfin.com/NY/Jamaica/110-20-Union-Hall-St-11433/home/20711717,OneKey,3329196,Y,Y,40.692318,-73.7897629
MLS Listing,,Multi-Family (2-4 Unit),630 S 12th St,Newark,NJ,7103,215000,4,2,Newark,,2113,,83,,,Active,,,http://www.redfin.com/NJ/Newark/630-S-12th-St-07103/home/36235634,NJMLS,21018403,Y,Y,40.7317112,-74.2057574
PAST SALE,,Single Family Residential,313 Summer Ave,Newark,NJ,7104,170000,,,,2554,3123,1927,,67,,,,,http://www.redfin.com/NJ/Newark/313-Summer-Ave-07104/home/36241382,,,Y,Y,40.7624928,-74.1696171
MLS Listing,,Multi-Family (2-4 Unit),44 Marne St,Newark City,NJ,7105,569000,6,3,Ironbound,,2613,1910,19,,,Active,,,http://www.redfin.com/NJ/Newark/44-Marne-St-07105/home/36269604,GSMLS,3727861,Y,Y,40.7251326,-74.1502599
MLS Listing,,Single Family Residential,3604 CHARLES Ct,North Bergen,NJ,7047,435000,4,2,North Bergen,1549,,,35,281,,Active,,,http://www.redfin.com/NJ/North-Bergen/3604-Charles-Ct-07047/home/36595244,HCMLS,210015750,Y,Y,40.7780018,-74.0362053
PAST SALE,July-20-2021,Multi-Family (2-4 Unit),20 HUNTINGTON Ter,Newark City,NJ,07112-1612,250000,,,Newark City,,3484,,15,,,Sold,,,http://www.redfin.com/NJ/Newark/20-Huntington-Ter-07112/home/36282935,GSMLS,3682557,Y,Y,40.7167136,-74.2077117
MLS Listing,,Multi-Family (2-4 Unit),95 Milford Ave,Newark City,NJ,07108-2815,480000,6,5,Newark City,3264,4791,2005,20,147,,Active,,,http://www.redfin.com/NJ/Newark/95-Milford-Ave-07108/home/36274543,GSMLS,3727673,Y,Y,40.7193926,-74.1908986
MLS Listing,,Condo/Co-op,762 Cauldwell Ave #17,BRONX,NY,10456,126000,3,1,762 Cauldwell Ave. Housi,946,,1906,55,133,846,Active,,,http://www.redfin.com/NY/The-Bronx/762-Cauldwell-Ave-10456/unit-17/home/167081245,OneKey,H6122967,Y,Y,40.8194025,-73.9082176
MLS Listing,,Multi-Family (2-4 Unit),17 N Terrace Ave,Mount Vernon,NY,10550,475000,4,2,Mount Vernon,2451,2452,1901,20,194,,Active,,,http://www.redfin.com/NY/Mt-Vernon/17-N-Terrace-Ave-10550/home/20003638,OneKey,H6128858,Y,Y,40.912805,-73.847129
PAST SALE,,Single Family Residential,209 Lexington Ave,Jersey City,NJ,7304,178000,,,,,2901,,,,,,,,http://www.redfin.com/NJ/Jersey-City/209-Lexington-Ave-07304/home/36546896,,,Y,Y,40.7208546,-74.0857978
MLS Listing,,Multi-Family (2-4 Unit),1511 73RD St,North Bergen,NJ,7047,679000,7,3,North Bergen,,,,20,,,Active,,,http://www.redfin.com/NJ/North-Bergen/1511-73rd-St-07047/home/36598574,HCMLS,210017002,Y,Y,40.801693,-74.018572
MLS Listing,,Multi-Family (2-4 Unit),21 Van Buren St,Yonkers,NY,10701,499000,5,2,Nodine Hill,1564,2596,1902,56,319,,Active,,,http://www.redfin.com/NY/Yonkers/21-Van-Buren-St-10701/home/20175883,OneKey,H6121641,Y,Y,40.9348911,-73.8825303
MLS Listing,,Single Family Residential,10 Stewart Pl,Yonkers,NY,10701,250000,5,2,Yonkers,1288,1211,1895,71,194,,Active,,,http://www.redfin.com/NY/Yonkers/10-Stewart-Pl-10701/home/20177661,OneKey,H6117907,Y,Y,40.938907,-73.8891813
MLS Listing,,Multi-Family (2-4 Unit),247 AKA 245 Warburton Ave,Yonkers,NY,10701,599000,9,3,Yonkers,2224,2705,1895,54,269,,Active,,,http://www.redfin.com/NY/Yonkers/245-Warburton-Ave-10701/home/53625977,OneKey,H6109574,Y,Y,40.9438571,-73.8975626
MLS Listing,,Multi-Family (2-4 Unit),37 Cliff Ave,Yonkers,NY,10701,559005,7,3,Yonkers,2177,3629,1915,106,257,,Active,,,http://www.redfin.com/NY/Yonkers/37-Cliff-St-10701/home/20180475,OneKey,H6109272,Y,Y,40.918888,-73.898998
PAST SALE,July-24-1996,Multi-Family (2-4 Unit),1530 Commonwealth Ave,BRONX,NY,10460,790000,10,3,BRONX,3102,2374,1910,63,255,,Pending,,,http://www.redfin.com/NY/Bronx/1530-Commonwealth-Ave-10460/home/44722550,OneKey,H6099164,Y,Y,40.8389201,-73.868944
MLS Listing,,Multi-Family (2-4 Unit),26 Governor St,Newark,NJ,7102,559900,8,6,Newark,,3785,,22,,,Contingent,,,http://www.redfin.com/NJ/Newark/26-Governor-St-07102/home/36069503,NJMLS,21028520,Y,Y,40.7290496,-74.1806709
MLS Listing,,Multi-Family (2-4 Unit),2911 Avenue D,Brooklyn,NY,11226,399000,6,3,Brooklyn,2160,1800,1910,202,185,,Active,,,http://www.redfin.com/NY/Brooklyn/2911-Avenue-D-11226/home/40788898,BNYMLS,446663,Y,Y,40.6410944,-73.9490931
MLS Listing,,Multi-Family (2-4 Unit),320 W Runyon St,Newark,NJ,7108,479900,9,5,Newark,,5001,,64,,,Active,,,http://www.redfin.com/NJ/Newark/320-W-Runyon-St-07108/home/36278935,NJMLS,21021388,Y,Y,40.7194055,-74.2099673
MLS Listing,,Multi-Family (2-4 Unit),9 Goodwin Ave,Newark,NJ,7112,475000,6,5,Newark,,4177,,22,,,Active,,,http://www.redfin.com/NJ/Newark/9-Goodwin-Ave-07112/home/36284719,NJMLS,21028427,Y,Y,40.7176756,-74.2098388
MLS Listing,,Multi-Family (2-4 Unit),270 Schley St,Newark City,NJ,07112-1012,220000,7,3,Newark City,19998,3920,,22,11,,Active,,,http://www.redfin.com/NJ/Newark/270-Schley-St-07112/home/36291528,GSMLS,3726911,Y,Y,40.7121968,-74.2237332
MLS Listing,,Multi-Family (2-4 Unit),6 Adams St,Newark,NJ,7105,519000,6,3,Newark,,492,,22,,,Active,,,http://www.redfin.com/NJ/Newark/6-Adams-St-07105/home/36267124,NJMLS,21028403,Y,Y,40.7317564,-74.1561235
PAST SALE,,Single Family Residential,58 Stegman St,Jersey City,NJ,7305,365000,,,,,2500,2001,,,,,,,http://www.redfin.com/NJ/Jersey-City/58-Stegman-St-07305/home/36541836,,,Y,Y,40.7025785,-74.0803022
PAST SALE,July-12-2011,Multi-Family (2-4 Unit),15 PACKARD St,Bayonne,NJ,07002-4922,300000,6,4,Bayonne,,,,3676,,,Sold,,,http://www.redfin.com/NJ/Bayonne/15-Packard-St-07002/home/36479175,HCMLS,110005798,Y,Y,40.6633169,-74.1108512
MLS Listing,,Multi-Family (2-4 Unit),23 Lentz Ave,Newark,NJ,7105,369900,4,2,Newark,,1786,,23,,,Active,,,http://www.redfin.com/NJ/Newark/23-Lentz-Ave-07105/home/36270436,NJMLS,21028325,Y,Y,40.7313448,-74.1386538
MLS Listing,,Multi-Family (2-4 Unit),293 Clifton Ave,Newark,NJ,7104,375000,6,2,Newark,,2696,,23,,,Active,,,http://www.redfin.com/NJ/Newark/293-Clifton-Ave-07104/home/36239885,NJMLS,21028326,Y,Y,40.7600726,-74.1749377
MLS Listing,,Multi-Family (2-4 Unit),184 Huntington Ter,Newark,NJ,7112,425000,5,3,Newark,,3851,,23,,,Active,,,http://www.redfin.com/NJ/Newark/184-Huntington-Ter-07112/home/36284855,NJMLS,21028278,Y,Y,40.7114777,-74.2119483
MLS Listing,,Single Family Residential,271 EGE Ave,JERSEY CITY,NJ,7304,449000,4,2.5,Jersey City (West Bergen),,,,110,,,Active,,,http://www.redfin.com/NJ/Jersey-City/271-Ege-Ave-07304/home/36550416,HCMLS,210009146,Y,Y,40.7165867,-74.0870368
MLS Listing,,Multi-Family (2-4 Unit),45 E 36th St,Bayonne,NJ,7002,535000,6,4,Bayonne,,2500,,23,,,Contingent,,,http://www.redfin.com/NJ/Bayonne/45-E-36th-St-07002/home/36464525,NJMLS,21028211,Y,Y,40.6735949,-74.1075017
MLS Listing,,Multi-Family (2-4 Unit),151 Garside St,Newark City,NJ,07104-1911,450000,7,3,Newark City,,2613,1882,25,,,Active,,,http://www.redfin.com/NJ/Newark/151-Garside-St-07104/home/36238794,GSMLS,3726446,Y,Y,40.7564621,-74.1748001
PAST SALE,June-12-2007,Multi-Family (2-4 Unit),9 Livingston Ave,Yonkers,NY,10705,473820,,,Yonkers,1960,3484,1893,5167,242,,Sold,,,http://www.redfin.com/NY/Yonkers/9-Livingston-Ave-10705/home/20178834,HGMLS,2708908,Y,Y,40.9234194,-73.899354
MLS Listing,,Multi-Family (2-4 Unit),465-467 S 16th St #2,Newark City,NJ,07103-1603,575000,6,4.5,Newark City,4075,3484,2021,26,141,,Active,,,http://www.redfin.com/NJ/Newark/465-S-16th-St-07103/unit-2/home/175626412,GSMLS,3726290,Y,Y,40.7399716,-74.2068752
PAST SALE,April-24-2014,Single Family Residential,111-03 Witthoff St,Queens Village,NY,11429,399000,5,3,Queens Village,,2381,1950,2660,,,Sold,,,http://www.redfin.com/NY/Jamaica/111-03-Witthoff-Ave-11429/home/20736643,MLSLI,2638595,Y,Y,40.707135,-73.741905
MLS Listing,,Multi-Family (2-4 Unit),594 S 20Th St,Newark City,NJ,07103-1113,550000,8,5,Newark City,2125,2613,2007,26,259,,Active,,,http://www.redfin.com/NJ/Newark/594-S-20th-St-07103/home/36236702,GSMLS,3726334,Y,Y,40.7364342,-74.2116273
PAST SALE,April-21-2017,Multi-Family (2-4 Unit),241 Lockman Ave,Staten  Island,NY,10303,499000,6,2.75,Staten  Island,1800,2943,2003,27,277,,Pending,,,http://www.redfin.com/NY/Staten-Island/241-Lockman-Ave-10303/home/56097776,BNYMLS,453652,Y,Y,40.6311325,-74.1614639
MLS Listing,,Multi-Family (2-4 Unit),19 Schuyler Ave,Newark,NJ,7112,334900,6,4,Newark,,3500,,60,,,Contingent,,,http://www.redfin.com/NJ/Newark/19-Schuyler-Ave-07112/home/36282925,NJMLS,21022504,Y,Y,40.7171738,-74.2090134
PAST SALE,,Single Family Residential,843 Summer Ave,Newark,NJ,7104,70000,,,,2136,2500,1891,,33,,,,,http://www.redfin.com/NJ/Newark/843-Summer-Ave-07104/home/36252093,,,Y,Y,40.7807464,-74.160214
MLS Listing,,Multi-Family (2-4 Unit),410 19th St,Union City,NJ,7087,579995,5,3,Union City,,1999,,27,,,Contingent,,,http://www.redfin.com/NJ/Union-City/410-19th-St-07087/home/36618100,NJMLS,21027793,Y,Y,40.7640532,-74.033865
PAST SALE,June-22-2018,Multi-Family (2-4 Unit),139 Mapes Ave,Newark City,NJ,07112-2017,462000,,,Newark City,,3484,,1139,,,Sold,,,http://www.redfin.com/NJ/Newark/139-Mapes-Ave-07112/home/77347616,GSMLS,3448091,Y,Y,40.710342,-74.2087521
MLS Listing,,Single Family Residential,655 Devon St,Kearny,NJ,7032,349999,4,2,Kearny,,4082,,28,,,Contingent,,,http://www.redfin.com/NJ/Kearny/655-Devon-St-07032/home/36587586,NJMLS,21027361,Y,Y,40.7717548,-74.1403233
PAST SALE,September-2-2014,Single Family Residential,245 Legion St,Brooklyn,NY,11212,629000,5,2,Brooklyn,1400,1600,1930,29,449,,Pending,,,http://www.redfin.com/NY/Brooklyn/245-Legion-St-11212/home/40753265,BNYMLS,453614,Y,Y,40.6627339,-73.9165207
PAST SALE,,Single Family Residential,50 62nd St,West New York,NJ,7093,,,,,1518,2300,1919,,,,,,,http://www.redfin.com/NJ/West-New-York/50-62nd-St-07093/home/36631979,,,Y,Y,40.7875597,-74.0063484
PAST SALE,,Single Family Residential,353 Cator Ave,Jersey City,NJ,7305,445000,,,,2080,2500,1925,,214,,,,,http://www.redfin.com/NJ/Jersey-City/353-Cator-Ave-07305/home/36526512,,,Y,Y,40.703599,-74.0963862
MLS Listing,,Multi-Family (2-4 Unit),52 N 15th St,East Orange,NJ,7017,359999,6,2,East Orange,,2997,,28,,,Contingent,,,http://www.redfin.com/NJ/East-Orange/52-N-15th-St-07017/home/36142681,NJMLS,21027376,Y,Y,40.7576004,-74.1967803
PAST SALE,,Single Family Residential,319 25th St,Union City,NJ,7087,165000,,,,2746,2500,1908,,60,,,,,http://www.redfin.com/NJ/Union-City/319-25th-St-07087/home/36618528,,,Y,Y,40.7674117,-74.0304889
MLS Listing,,Multi-Family (2-4 Unit),70 S 13th St,Newark,NJ,7107,430000,9,5,Newark,,2500,,27,,,Contingent,,,http://www.redfin.com/NJ/Newark/70-S-13th-St-07107/home/36259800,NJMLS,21027631,Y,Y,40.7527179,-74.1974171
MLS Listing,,Multi-Family (2-4 Unit),497 OCEAN Ave,JERSEY CITY,NJ,7305,629000,6,5,Jersey City (Greenville),,,,28,,,Active,,,http://www.redfin.com/NJ/Jersey-City/497-Ocean-Ave-07305/home/36530484,HCMLS,210016302,Y,Y,40.7034639,-74.080958
MLS Listing,,Multi-Family (2-4 Unit),55 Chester Ave,Newark,NJ,7104,400000,5,2,Newark,,2605,,29,,,Contingent,,,http://www.redfin.com/NJ/Newark/55-Chester-Ave-07104/home/36246080,NJMLS,21027200,Y,Y,40.7680721,-74.162324
PAST SALE,May-23-2019,Multi-Family (2-4 Unit),84 WARNER Ave,JERSEY CITY,NJ,7305,410000,7,3,Jersey City (Greenville),,,,804,,,Sold,,,http://www.redfin.com/NJ/Jersey-City/84-Warner-Ave-07305/home/36533319,HCMLS,190005441,Y,Y,40.7005423,-74.0890903
MLS Listing,,Multi-Family (2-4 Unit),73 Rose St,Kearny,NJ,7032,449887,5,2,Kearny,,1110240,,30,,,Active,,,http://www.redfin.com/NJ/Kearny/73-Rose-St-07032/home/36580482,NJMLS,21027053,Y,Y,40.7552161,-74.1563494
PAST SALE,March-14-1995,Multi-Family (2-4 Unit),98 Vista Pl,Mount Vernon,NY,10550,750000,9,3,Mount Vernon,3000,5275,1930,33,250,,Pending,,,http://www.redfin.com/NY/Mt-Vernon/98-Vista-Pl-10550/home/20211528,OneKey,H6128248,Y,Y,40.906486,-73.8474729
MLS Listing,,Single Family Residential,344-346 Ridge St,Newark,NJ,7104,549000,5,4.5,Newark,,5001,,190,,,Contingent,,,http://www.redfin.com/NJ/Newark/344-Ridge-St-07104/home/36241478,NJMLS,21002946,Y,Y,40.7648982,-74.1740065
MLS Listing,,Multi-Family (2-4 Unit),71 W 19TH St,Bayonne,NJ,7002,489999,7,2,Bayonne,,,,33,,,Active,,,http://www.redfin.com/NJ/Bayonne/71-W-19th-St-07002/home/36470454,HCMLS,210015976,Y,Y,40.663126,-74.123401
MLS Listing,,Single Family Residential,642 Shepherd Ave,E. New York,NY,11208,688000,5,3.5,E. New York,,3052,1986,93,,,Active,,,http://www.redfin.com/NY/Brooklyn/642-Shepherd-Ave-11208/home/40761781,OneKey,3309014,Y,Y,40.6683294,-73.8796363
MLS Listing,,Multi-Family (2-4 Unit),19-23 Stuyvesant Ave,Kearny,NJ,7032,629000,12,4,Kearny,,7501,,309,,,Contingent,,,http://www.redfin.com/NJ/Kearny/19-Stuyvesant-Ave-07032/home/36584500,NJMLS,20040810,Y,Y,40.7787794,-74.142561
MLS Listing,,Single Family Residential,70 Dukes St,Kearny,NJ,7032,375000,4,1.5,Kearny,,2161,,49,,,Contingent,,,http://www.redfin.com/NJ/Kearny/70-Dukes-St-07032/home/36592955,NJMLS,21024354,Y,Y,40.7539336,-74.15237
MLS Listing,,Multi-Family (5+ Unit),202 Kearny Ave,Kearny,NJ,7032,375000,6,,Kearny,,,,36,,,Contingent,,,http://www.redfin.com/NJ/Kearny/202-Kearny-Ave-07032/home/175575663,NJMLS,21026246,Y,Y,40.7581103,-74.1524159
MLS Listing,,Single Family Residential,11540 Marsden St,Queens,NY,11434,605000,4,3,Jamaica,1188,2851,2002,34,509,,Active,August-8-2021 01:00 PM,August-8-2021 02:30 PM,http://www.redfin.com/NY/Jamaica/115-40-Marsden-St-11434/home/20708376,SIBORMLS,1147466,Y,Y,40.686757,-73.783412
MLS Listing,,Multi-Family (2-4 Unit),1089 Grove St,Irvington,NJ,7111,379000,7,3,Irvington,,4047,,22,,,Active,,,http://www.redfin.com/NJ/Irvington/1089-Grove-St-07111/home/36175921,NJMLS,21028447,Y,Y,40.7220771,-74.224742
MLS Listing,,Multi-Family (2-4 Unit),158 Brill St,Newark,NJ,7105,489000,6,2,Newark,,3049,,29,,,Active,,,http://www.redfin.com/NJ/Newark/158-Brill-St-07105/home/36269254,NJMLS,21027131,Y,Y,40.7286103,-74.1398809
MLS Listing,,Multi-Family (2-4 Unit),24 GATES Ave,JERSEY CITY,NJ,7305,475000,5,3,Jersey City (Greenville),,,,35,,,Active,,,http://www.redfin.com/NJ/Jersey-City/24-Gates-Ave-07305/home/36538079,HCMLS,210015802,Y,Y,40.6886352,-74.0941378
PAST SALE,July-20-1999,Multi-Family (2-4 Unit),550 35TH St,Union City,NJ,7087,186000,5,3,Union City,,,,8051,,,Sold,,,http://www.redfin.com/NJ/Union-City/550-35th-St-07087/home/36621063,HCMLS,9900484,Y,Y,40.7747318,-74.0298401
MLS Listing,,Multi-Family (2-4 Unit),14 Caroline Ave,Clifton,NJ,7011,460000,5,3,Clifton,,2627,,34,,,Contingent,,,http://www.redfin.com/NJ/Clifton/14-Caroline-Ave-07011/home/37540207,NJMLS,21026746,Y,Y,40.8800672,-74.1357906
MLS Listing,,Multi-Family (2-4 Unit),170 Goodwin Ave,Newark,NJ,7112,469000,7,3.5,Newark,,3302,,23,,,Active,,,http://www.redfin.com/NJ/Newark/170-Goodwin-Ave-07112/home/36284891,NJMLS,21028366,Y,Y,40.7125459,-74.2135074
MLS Listing,,Single Family Residential,496 S 18th St,Newark,NJ,7103,239900,4,2,Newark,,1681,,63,,,Contingent,,,http://www.redfin.com/NJ/Newark/496-S-18th-St-07103/home/36236234,NJMLS,21021898,Y,Y,40.739438,-74.2085892
PAST SALE,,Single Family Residential,70 Stone St,Newark,NJ,7104,317000,,,,2443,3001,1999,,130,,,,,http://www.redfin.com/NJ/Newark/70-Stone-St-07104/home/36373605,,,Y,Y,40.7538619,-74.1747084
MLS Listing,,Single Family Residential,771-773 S 18th St,Newark,NJ,7103,425000,5,3,Newark,,5715,,42,,,Contingent,,,http://www.redfin.com/NJ/Newark/771-S-18th-St-07103/home/36272023,NJMLS,21025550,Y,Y,40.7294013,-74.2129872
MLS Listing,,Multi-Family (2-4 Unit),70 1/2 Stone St,Newark,NJ,7104,400000,5,3,Newark,,3001,,36,,,Contingent,,,http://www.redfin.com/NJ/Newark/70-1-2-Stone-St-07104/home/174323223,NJMLS,21026371,Y,Y,40.7539327,-74.1746625
MLS Listing,,Single Family Residential,248 1/2 Chestnut St,Newark,NJ,7105,264900,3,1,Newark,,,,43,,,Active,,,http://www.redfin.com/NJ/Newark/248-1-2-Chestnut-St-07105/home/175532397,NJMLS,21025255,Y,Y,40.7233577,-74.1649581
MLS Listing,,Multi-Family (2-4 Unit),129 W 20th St,Bayonne,NJ,7002,599000,6,3,Bayonne,,2566,,35,,,Active,,,http://www.redfin.com/NJ/Bayonne/129-W-20th-St-07002/home/36470495,NJMLS,21026449,Y,Y,40.6649305,-74.1253494
PAST SALE,,Single Family Residential,99 Boyd Ave,Jersey City,NJ,7304,105000,,,,,1847,,,,,,,,http://www.redfin.com/NJ/Jersey-City/99-Boyd-Ave-07304/home/36552192,,,Y,Y,40.7168891,-74.0839134
MLS Listing,,Multi-Family (2-4 Unit),302 UNION St,JERSEY CITY,NJ,07304-1844,595000,7,4,Jersey City (West Bergen),,,,69,,,Active,,,http://www.redfin.com/NJ/Jersey-City/302-Union-St-07304/home/36554241,HCMLS,210012772,Y,Y,40.717773,-74.0822299
MLS Listing,,Multi-Family (2-4 Unit),140 Goodwin Ave,Newark City,NJ,07112-1807,445000,5,2,Newark City,1998,3484,,55,223,,Active,,,http://www.redfin.com/NJ/Newark/140-Goodwin-Ave-07112/home/36284801,GSMLS,3719313,Y,Y,40.7133645,-74.2127279
MLS Listing,,Multi-Family (2-4 Unit),8 Burdette Pl,Fairview,NJ,7022,549900,6,3,Fairview,,2374,,37,,,Contingent,,,http://www.redfin.com/NJ/Fairview/8-Burdette-Pl-07022/home/35733222,NJMLS,21026192,Y,Y,40.821092,-74.006545
MLS Listing,,Single Family Residential,245 S 5th Ave,Mount Vernon,NY,10550,425000,5,1.5,Mount Vernon,1700,3568,1910,37,250,,Active,,,http://www.redfin.com/NY/Mt-Vernon/245-S-5th-Ave-10550/home/20214150,OneKey,H6127071,Y,Y,40.9050563,-73.8353129
MLS Listing,,Multi-Family (2-4 Unit),13 W 50th St,Bayonne,NJ,7002,414900,5,2,Bayonne,,2500,,27,,,Active,,,http://www.redfin.com/NJ/Bayonne/13-W-50th-St-07002/home/36461400,NJMLS,21027797,Y,Y,40.6832082,-74.1028101
PAST SALE,,Single Family Residential,8 W 12th St,Bayonne,NJ,7002,,,,,1570,1843,1891,,,,,,,http://www.redfin.com/NJ/Bayonne/8-W-12th-St-07002/home/36472947,,,Y,Y,40.6563985,-74.1250902
MLS Listing,,Single Family Residential,190 LINDEN Ave,JERSEY CITY,NJ,7305,364999,3,1,Jersey City (Greenville),,,,63,,,Active,,,http://www.redfin.com/NJ/Jersey-City/190-Linden-Ave-07305/home/36534858,HCMLS,210013309,Y,Y,40.6977865,-74.093461
PAST SALE,,Multi-Family (2-4 Unit),119-35 166th St,Queens,NY,11434,180500,,,,1525,4000,1930,,118,,,,,http://www.redfin.com/NY/Queens/119-35-166th-St-11434/home/20707388,,,Y,Y,40.682532,-73.7786969
MLS Listing,,Multi-Family (2-4 Unit),198 Parker St,Newark,NJ,7104,430000,6,2,Newark,,2500,,39,,,Active,,,http://www.redfin.com/NJ/Newark/198-Parker-St-07104/home/36240052,NJMLS,21026025,Y,Y,40.7598485,-74.1775406
MLS Listing,,Multi-Family (2-4 Unit),37 Blum St,Newark,NJ,7103,399999,9,3,Newark,,2500,,40,,,Active,,,http://www.redfin.com/NJ/Newark/37-Blum-St-07103/home/36235519,NJMLS,21025966,Y,Y,40.7333035,-74.2025014
MLS Listing,,Multi-Family (2-4 Unit),89 Clifton Ave,Newark City,NJ,07104-1017,479000,8,5,Newark City,297,2613,,57,1613,,Active,,,http://www.redfin.com/NJ/Newark/89-Clifton-Ave-07104/home/36237750,GSMLS,3718566,Y,Y,40.7525272,-74.1788937
MLS Listing,,Multi-Family (2-4 Unit),11 DWIGHT St,JERSEY CITY,NJ,7305,499000,6,2,Jersey City (Greenville),,,,41,,,Active,,,http://www.redfin.com/NJ/Jersey-City/11-Dwight-St-07305/home/36541985,HCMLS,210015272,Y,Y,40.7007459,-74.079996
PAST SALE,,Single Family Residential,904 90th St,North Bergen,NJ,7047,62000,,,,2951,2500,1916,,21,,,,,http://www.redfin.com/NJ/North-Bergen/904-90th-St-07047/home/36602620,,,Y,Y,40.8099798,-74.005281
MLS Listing,,Multi-Family (2-4 Unit),72 Fabyan Pl,Newark City,NJ,07108-1024,350000,4,2,Newark City,,1742,,27,,,Active,,,http://www.redfin.com/NJ/Newark/72-Fabyan-Pl-07108/home/36282032,GSMLS,3726020,Y,Y,40.7209565,-74.2167526
PAST SALE,,Single Family Residential,101 W 45th St,Bayonne,NJ,7002,,,,,1956,2500,1902,,,,,,,http://www.redfin.com/NJ/Bayonne/101-W-45th-St-07002/home/36463281,,,Y,Y,40.6820087,-74.1089815
MLS Listing,,Multi-Family (2-4 Unit),864 S 16th St,Newark,NJ,7108,475000,8,3,Newark,,3001,,47,,,Contingent,,,http://www.redfin.com/NJ/Newark/864-S-16th-St-07108/home/36277550,NJMLS,21024730,Y,Y,40.7254288,-74.2119483
PAST SALE,,Single Family Residential,50 Argyle Ter Unit 1ST,Irvington,NJ,7111,327000,,,,2424,2952,1963,,135,,,,,http://www.redfin.com/NJ/Irvington/50-Argyle-Ter-07111/unit-1ST/home/36174209,,,Y,Y,40.7334605,-74.2196521
MLS Listing,,Single Family Residential,78 WINFIELD Ave,JERSEY CITY,NJ,7305,399000,5,2,Jersey City (Greenville),1420,,,46,281,,Active,,,http://www.redfin.com/NJ/Jersey-City/78-Winfield-Ave-07305/home/36537883,HCMLS,210014895,Y,Y,40.6922514,-74.0930715
PAST SALE,,Single Family Residential,164 Wilkinson Ave,Jersey City,NJ,7305,165000,,,,,2200,,,,,,,,http://www.redfin.com/NJ/Jersey-City/164-Wilkinson-Ave-07305/home/36529444,,,Y,Y,40.70733,-74.081607
PAST SALE,,Single Family Residential,132 W 16th St,Bayonne,NJ,7002,,,,,2305,2561,1920,,,,,,,http://www.redfin.com/NJ/Bayonne/132-W-16th-St-07002/home/36471906,,,Y,Y,40.6616447,-74.1281544
PAST SALE,,Single Family Residential,30 N 7th St,Newark,NJ,7107,84899,,,,2783,2548,1890,,31,,,,,http://www.redfin.com/NJ/Newark/30-N-7th-St-07107/home/36259717,,,Y,Y,40.7506518,-74.1928706
MLS Listing,,Multi-Family (2-4 Unit),6120 Jefferson St,West New York,NJ,7093,479000,5,3,West New York,,2500,,49,,,Active,,,http://www.redfin.com/NJ/West-New-York/6120-Jefferson-St-07093/home/36640164,NJMLS,21024363,Y,Y,40.792387,-74.018985
MLS Listing,,Multi-Family (2-4 Unit),128 GRANT Ave,JERSEY CITY,NJ,7305,590000,8,4,Jersey City (Greenville),,,,50,,,Active,,,http://www.redfin.com/NJ/Jersey-City/128-Grant-Ave-07305/home/36574330,HCMLS,210014550,Y,Y,40.7103427,-74.0824135
PAST SALE,,Multi-Family (2-4 Unit),432 S 6th Ave,Mt Vernon,NY,10550,605000,,,,,3689,,,,,,,,http://www.redfin.com/NY/Mt-Vernon/432-S-6th-Ave-10550/home/20213223,,,Y,Y,40.9004831,-73.8350832
MLS Listing,,Multi-Family (2-4 Unit),116-120 Tappan St,Kearny,NJ,7032,587000,5,3,Kearny,,6199,,51,,,Contingent,,,http://www.redfin.com/NJ/Kearny/116-Tappan-St-07032/home/36592877,NJMLS,21023959,Y,Y,40.7535031,-74.1484082
PAST SALE,March-1-2004,Multi-Family (2-4 Unit),88 WEGMAN Pkwy,JERSEY CITY,NJ,,336000,6,5,Jersey City (Greenville),,,,6365,,,Sold,,,http://www.redfin.com/NJ/Jersey-City/88-Wegman-Pkwy-07305/home/36530304,HCMLS,301350,Y,Y,40.7038908,-74.0808418
PAST SALE,March-22-2012,Single Family Residential,4524 SMITH Ave,North Bergen,NJ,07047-2746,249000,3,1.5,North Bergen,,,,3422,,,Sold,,,http://www.redfin.com/NJ/North-Bergen/4524-Smith-Ave-07047/home/36596522,HCMLS,120000076,Y,Y,40.7817327,-74.0262827
