SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),406 Van Siclen Ave,Brooklyn,NY,11207,370000,,,,2000,1900,1930,,185,,,,,http://www.redfin.com/NY/Brooklyn/406-Van-Siclen-Ave-11207/home/40760502,,,Y,Y,40.6695638,-73.889742
For-Sale-by-Owner Listing,,Multi-Family (2-4 Unit),588 66th St,West New York,NJ,7093,699999,5,2,West New York,,,,4,,,Active,,,http://www.redfin.com/NJ/West-New-York/588-66th-St-07093/home/36642252,FSBO.com,525861,Y,Y,40.794877,-74.0157248
PAST SALE,,Single Family Residential,137 34th St,Union City,NJ,7087,261900,,,,2400,2500,1898,,109,,,,,http://www.redfin.com/NJ/Union-City/137-34th-St-07087/home/36620745,,,Y,Y,40.7710195,-74.0248426
MLS Listing,,Single Family Residential,907 73RD St,North Bergen,NJ,7047,649900,5,3.5,North Bergen,,,,5,,,Active,,,http://www.redfin.com/NJ/North-Bergen/907-73rd-St-07047/home/36598215,HCMLS,210018198,Y,Y,40.799273,-74.013052
MLS Listing,,Multi-Family (2-4 Unit),206-208 Brookside Ave,Irvington,NJ,7111,359900,4,3,Irvington,,2313,,5,,,Active,,,http://www.redfin.com/NJ/Irvington/206-Brookside-Ave-07111/home/36171806,NJMLS,21031070,Y,Y,40.7330177,-74.2217888
PAST SALE,,Single Family Residential,73 Terrace Ave,Jersey City,NJ,7307,237000,,,,1150,1102,1900,,206,,,,,http://www.redfin.com/NJ/Jersey-City/73-Terrace-Ave-07307/home/36524362,,,Y,Y,40.7489769,-74.058885
MLS Listing,,Multi-Family (2-4 Unit),167 WILKINSON Ave,JERSEY CITY,NJ,7305,499000,5,3,Jersey City (Greenville),,,,72,,,Active,,,http://www.redfin.com/NJ/Jersey-City/167-Wilkinson-Ave-07305/home/36529588,HCMLS,210012549,Y,Y,40.7071952,-74.0820808
MLS Listing,,Multi-Family (2-4 Unit),1022 E 81 St,Brooklyn,NY,11236,679900,6,3.5,Brooklyn,,2000,,8,,,Active,,,http://www.redfin.com/NY/Brooklyn/1022-E-81st-St-11236/home/40887039,BNYMLS,454239,Y,Y,40.633764,-73.910392
MLS Listing,,Single Family Residential,1720 E 54th St,Brooklyn,NY,11234,649000,4,2.25,Brooklyn,1296,1800,,47,501,,Active,,,http://www.redfin.com/NY/Brooklyn/1720-E-54th-St-11234/home/40901586,BNYMLS,452144,Y,Y,40.6155665,-73.9228804
MLS Listing,,Multi-Family (2-4 Unit),58-60 78 Ave,Glendale,NY,11385,550000,5,2,Glendale,2500,2500,1925,8,220,,Active,,,http://www.redfin.com/NY/Flushing/58-60-78th-Ave-11385/home/20878027,OneKey,3333269,Y,Y,40.695765,-73.89655
MLS Listing,,Multi-Family (2-4 Unit),1105 Winthrop St,Brownsville,NY,11212,400000,5,3,Brownsville,,3450,1920,124,,,Active,,,http://www.redfin.com/NY/Brooklyn/1105-Winthrop-St-11212/home/40771372,OneKey,3299966,Y,Y,40.6621211,-73.923341
MLS Listing,,Townhouse,115-15 202 St,Queens,NY,11412,575000,4,2.5,St. Albans,,4000,1945,26,,,Active,,,http://www.redfin.com/NY/Jamaica/115-15-202nd-St-11412/home/20734509,REBNY,RLMX-015980031013,Y,Y,40.6980168,-73.7515421
MLS Listing,,Single Family Residential,215-05 104th Ave,Queens Village,NY,11429,499000,4,2,Queens Village,1280,1280,1930,35,390,,Active,,,http://www.redfin.com/NY/Jamaica/215-05-104th-Ave-11429/home/20737486,OneKey,3325939,Y,Y,40.712232,-73.743483
MLS Listing,,Single Family Residential,66 Sussex Rd,Elmont,NY,11003,415000,4,2,Elmont,,4000,1941,55,,,Active,,,http://www.redfin.com/NY/Elmont/66-Sussex-Rd-11003/home/20471263,OneKey,3320441,Y,Y,40.7064687,-73.7213752
MLS Listing,,Multi-Family (2-4 Unit),158 Mapes Ave,Newark,NJ,7112,475000,7,3,Newark,,3498,,5,,,Active,,,http://www.redfin.com/NJ/Newark/158-Mapes-Ave-07112/home/36286407,NJMLS,21031098,Y,Y,40.7103196,-74.2097471
MLS Listing,,Multi-Family (2-4 Unit),44 Wainwright St,Newark,NJ,7112,599000,7,4.5,Newark,,2500,,138,,,Active,,,http://www.redfin.com/NJ/Newark/44-Wainwright-St-07112/home/36280548,NJMLS,21009978,Y,Y,40.718451,-74.216666
MLS Listing,,Multi-Family (2-4 Unit),113 S 7Th St #3,Newark City,NJ,07107-2047,486000,7,3,Newark City,2510,3049,1899,7,194,,Active,,,http://www.redfin.com/NJ/Newark/113-S-7th-St-07107/unit-3/home/175891738,GSMLS,3730723,Y,Y,40.7452241,-74.1954848
MLS Listing,,Single Family Residential,34 Stone St,Newark,NJ,7104,429900,4,2.5,Newark,,3006,,8,,,Active,,,http://www.redfin.com/NJ/Newark/34-Stone-St-07104/home/36238165,NJMLS,21030556,Y,Y,40.7524845,-74.1748001
MLS Listing,,Multi-Family (2-4 Unit),284 RANDOLPH Ave,JERSEY CITY,NJ,7304,599000,6,3,Jersey City (Bergen-Lafayette),,,,7,,,Active,,,http://www.redfin.com/NJ/Jersey-City/284-Randolph-Ave-07304/home/36572514,HCMLS,210017979,Y,Y,40.71278,-74.0692453
MLS Listing,,Single Family Residential,99 Hudson St,Newark,NJ,7103,329000,8,2,Newark,,1755,,43,,,Active,,,http://www.redfin.com/NJ/Newark/99-Hudson-St-07103/home/36275312,NJMLS,21025236,Y,Y,40.746475,-74.1849019
MLS Listing,,Multi-Family (2-4 Unit),781 S 13th St,Newark,NJ,7108,415000,6,3,Newark,,2500,,8,,,Active,,,http://www.redfin.com/NJ/Newark/781-S-13th-St-07108/home/36273665,NJMLS,21030532,Y,Y,40.7267186,-74.2090134
MLS Listing,,Multi-Family (2-4 Unit),112 CLAREMONT Ave,JERSEY CITY,NJ,7305,530000,9,3,Jersey City (Greenville),,,,9,,,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/NJ/Jersey-City/112-Claremont-Ave-07305/home/36576168,HCMLS,210017868,Y,Y,40.7088018,-74.0782889
MLS Listing,,Multi-Family (2-4 Unit),339 7th Ave,Newark,NJ,7107,400000,7,4,Newark,,2252,,9,,,Active,,,http://www.redfin.com/NJ/Newark/339-7th-Ave-W-07107/home/36261237,NJMLS,21030444,Y,Y,40.7542516,-74.1876882
MLS Listing,,Single Family Residential,11 1/2 Highland Ave,Kearny Town,NJ,07032-1922,275000,3,1,Kearny Town,,727016,1885,9,,,Active,,,http://www.redfin.com/NJ/Kearny/11-1-2-Highland-Ave-07032/home/36580248,GSMLS,3730092,Y,Y,40.7535914,-74.1588552
MLS Listing,,Multi-Family (2-4 Unit),,Newark City,NJ,07107-2228,400000,7,4,,,2178,1910,9,,,Active,,,http://www.redfin.com/NJ/Newark/Undisclosed-address-07107/home/175852772,GSMLS,3730089,Y,Y,40.7663804,-74.1856472
MLS Listing,,Multi-Family (2-4 Unit),9010 KENNEDY Blvd,North Bergen,NJ,7047,620000,7,4,North Bergen,,,,9,,,Active,,,http://www.redfin.com/NJ/North-Bergen/9010-John-F-Kennedy-Blvd-07047/home/36602619,HCMLS,210017810,Y,Y,40.810201,-74.005435
MLS Listing,,Single Family Residential,2703 Bainbridge Ave,BRONX,NY,10458,529000,6,2,BRONX,,2092,1915,188,,,Active,,,http://www.redfin.com/NY/Bronx/2703-Bainbridge-Ave-10458/home/44760620,OneKey,3284212,Y,Y,40.8658835,-73.8913155
PAST SALE,May-20-2015,Single Family Residential,72 Gibson Pl,Yonkers,NY,10705,423500,4,3,Yonkers,1600,5719,1931,2268,265,,Sold,,,http://www.redfin.com/NY/Yonkers/72-Gibson-Pl-10705/home/20179438,HGMLS,4443425,Y,Y,40.9118125,-73.8875948
