,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
386,PAST SALE,June-9-2021,Multi-Family (2-4 Unit),31 Marne St,Newark,NJ,7105,390000.0,4.0,2.0,Newark,69.0,1999.0,69.0,56.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/31-Marne-St-07105/home/36269632,NJMLS,21010901,Y,Y,40.724574,-74.1504778
387,PAST SALE,May-28-2021,Multi-Family (2-4 Unit),338 Elm St,Newark,NJ,7105,475000.0,4.0,2.0,Newark,69.0,2335.0,69.0,68.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/338-Elm-St-07105/home/36254315,NJMLS,21004072,Y,Y,40.7254158,-74.1558563
388,MLS Listing,69,Multi-Family (2-4 Unit),231-233 Renner Ave,Newark,NJ,7112,499000.0,10.0,4.0,Newark,69.0,4099.0,69.0,14.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Newark/231-Renner-Ave-07112/home/36282825,NJMLS,21029718,Y,Y,40.7129084,-74.2089222
389,PAST SALE,69,Multi-Family (2-4 Unit),69,Newark,NJ,7112,69.0,69.0,69.0,69,69.0,69.0,69.0,69.0,69.0,69.0,69,69,69,http://www.redfin.com/NJ/Newark/Unknown-07112/home/174424324,69,69,Y,Y,40.7132136,-74.2120629
390,PAST SALE,April-30-2021,Single Family Residential,69 LINDEN Ave,JERSEY CITY,NJ,7305,410000.0,5.0,2.0,Jersey City (Greenville),69.0,69.0,69.0,96.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Jersey-City/69-Linden-Ave-07305/home/36537954,HCMLS,210003525,Y,Y,40.6939139,-74.0906619
391,PAST SALE,May-7-2015,Single Family Residential,36 Dongan St,Staten Island,NY,10310,514000.0,4.0,2.0,West Brighton,1514.0,3025.0,1901.0,74.0,339.0,69.0,Pending,69,69,http://www.redfin.com/NY/Staten-Island/36-Dongan-St-10310/home/56060243,SIBORMLS,1146391,Y,Y,40.6363716,-74.1247071
392,PAST SALE,March-4-2021,Single Family Residential,42 Shaughnessy Ln,Staten Island,NY,10305,399850.0,4.0,2.0,Rosebank,1488.0,6850.0,1915.0,153.0,269.0,69.0,Sold,69,69,http://www.redfin.com/NY/Staten-Island/42-Shaughnessy-Ln-10305/home/56083403,SIBORMLS,1142618,Y,Y,40.613821,-74.0747384
393,MLS Listing,69,Multi-Family (2-4 Unit),62 Hobson St,Newark,NJ,7112,439000.0,6.0,2.0,Newark,69.0,2574.0,69.0,11.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Newark/62-Hobson-St-07112/home/36280708,NJMLS,21030232,Y,Y,40.717369,-74.2154452
394,PAST SALE,March-30-2021,Townhouse,114 Ashby Rd,Upper Darby,PA,19082,173000.0,3.0,1.0,STONEHURST,1392.0,2526.0,1920.0,127.0,124.0,69.0,Sold,69,69,http://www.redfin.com/PA/Upper-Darby/114-Ashby-Rd-19082/home/38301833,BRIGHT MLS,PADE539402,Y,Y,39.9589966,-75.2625467
395,MLS Listing,69,Multi-Family (2-4 Unit),813 Mount Prospect Ave,Newark,NJ,7104,350000.0,5.0,3.0,Newark,69.0,2400.0,69.0,28.0,69.0,69.0,Contingent,69,69,http://www.redfin.com/NJ/Newark/813-Mt-Prospect-Ave-07104/home/36251183,NJMLS,21027480,Y,Y,40.7801097,-74.1631038
